customer_id,age,gender,country,employment_type,income,account_type,signup_date,customer_status
CUST00001,35.0,Male,Singapore,Business Owner,2055034.45,Current,2024-02-02,Inactive
CUST00002,23.0,Female,United States,Self-Employed,1822691.05,Current,2024-12-31,Active
CUST00003,18.0,Female,Germany,Unemployed,148385.11,Current,,Inactive
CUST00004,26.0,Male,United States,Business Owner,3450402.73,Savings,2023-02-28,Inactive
CUST00005,22.0,Female,United Arab Emirates,Employed,1380791.52,Savings,2024-02-14,Inactive
CUST00006,18.0,Female,United States,Employed,1362377.11,Salary,2025-07-25,Active
CUST00007,39.0,Female,India,Retired,1500000.0,Savings,,Suspended
CUST00008,41.0,Female,United States,Business Owner,4421519.57,Salary,2024-12-07,Closed
CUST00009,25.0,Female,Singapore,Employed,1053718.7,Savings,2023-08-01,Active
CUST00010,26.0,Female,United Arab Emirates,Unemployed,752651.07,Savings,2024-02-20,Active
CUST00011,18.0,Female,India,Unemployed,119137.0,Current,2025-12-29,Active
CUST00012,25.0,Male,United Kingdom,Self-Employed,126808.0,Premium,2023-04-15,Active
CUST00013,23.0,Female,United States,Unknown,1071012.91,Savings,2023-08-15,Active
CUST00014,26.0,Female,India,Employed,1510776.29,Savings,2025-09-04,Inactive
CUST00015,46.0,Male,Singapore,Self-Employed,658218.3,Savings,2025-03-17,Active
CUST00016,35.0,Female,Australia,Student,752651.07,Savings,2024-07-27,Active
CUST00017,31.0,Male,United Arab Emirates,Employed,927257.31,Savings,2026-02-16,Active
CUST00018,29.0,Male,United Kingdom,Unknown,1924174.56,Savings,2024-04-17,Active
CUST00019,31.0,Male,India,Retired,752651.07,Current,2023-10-21,Inactive
CUST00020,18.0,Male,Singapore,Employed,905137.12,Savings,2024-12-06,Active
CUST00021,28.0,Female,Singapore,Retired,1073951.81,Savings,2024-09-27,Active
CUST00022,27.0,Other,Germany,Retired,697060.41,Salary,2025-03-10,Closed
CUST00023,18.0,Male,India,Self-Employed,721994.73,Savings,2024-02-12,Active
CUST00024,28.0,Female,Canada,Business Owner,1001690.82,Savings,2024-04-10,Active
CUST00025,23.0,Female,India,Self-Employed,575308.73,Savings,2025-01-30,Active
CUST00026,23.0,Female,Singapore,Student,89866.06,Current,2024-11-23,Active
CUST00027,35.0,Male,Singapore,Employed,593220.6,Salary,2024-11-27,Closed
CUST00028,24.0,Female,United States,Employed,1306846.85,Savings,2024-02-23,Active
CUST00029,20.0,Female,India,Self-Employed,410008.82,Savings,2024-06-03,Closed
CUST00030,32.0,Female,Germany,Self-Employed,1286028.62,Savings,2024-11-30,Inactive
CUST00031,35.0,Male,United States,Employed,1110899.11,Savings,2026-03-18,Inactive
CUST00032,35.0,Female,United Kingdom,Business Owner,1324618.79,Savings,2025-09-03,Active
CUST00033,32.0,Male,Germany,Employed,960736.4,Savings,2025-09-10,Closed
CUST00034,25.0,Male,India,Employed,494061.08,Savings,2023-12-28,Active
CUST00035,36.0,Male,United Kingdom,Self-Employed,2192258.95,Premium,2023-07-21,Active
CUST00036,18.0,Female,India,Student,910314.78,Savings,2025-11-08,Active
CUST00037,38.0,Male,India,Retired,100173.9,Current,2025-04-28,Inactive
CUST00038,19.0,Male,Germany,Employed,1599450.29,Savings,2026-01-08,Closed
CUST00039,18.0,Male,India,Employed,895837.11,Salary,2024-06-19,Active
CUST00040,22.0,Female,United States,Employed,517549.23,Current,2026-05-03,Active
CUST00041,24.0,Male,India,Student,329237.5,Savings,2025-09-08,Active
CUST00042,27.0,Female,India,Self-Employed,752651.07,Savings,2024-03-10,Active
CUST00043,18.0,Female,Singapore,Employed,673928.69,Premium,2023-07-28,Active
CUST00044,18.0,Female,India,Student,752651.07,Premium,2025-11-27,Active
CUST00045,30.0,Other,United Kingdom,Business Owner,1366923.93,Salary,2023-04-21,Active
CUST00046,18.0,Female,India,Student,752651.07,Savings,2025-07-01,Closed
CUST00047,25.0,Male,United States,Self-Employed,2278178.14,Premium,2024-07-12,Active
CUST00048,23.0,Female,United Arab Emirates,Employed,723663.06,Premium,2026-02-06,Closed
CUST00049,19.0,Male,Germany,Unemployed,199568.92,Savings,,Closed
CUST00050,27.0,Other,United States,Student,206364.51,Current,2025-01-01,Suspended
CUST00051,18.0,Female,Singapore,Self-Employed,752651.07,Current,2025-09-14,Closed
