transaction_id,customer_id,payment_date,amount,payment_mode,transaction_status,transaction_type
TXN000005,CUST29420,2026-02-06,2333.66,Cash,Success,Bill Payment
TXN000006,CUST25944,2025-05-30,188.45,UPI,Success,Withdrawal
TXN000009,CUST07029,2026-04-08,3002.82,UPI,Failed,Refund
TXN000010,CUST04989,2024-12-12,6264.65,UPI,Success,Purchase
TXN000011,CUST24405,2024-09-17,1436.81,UPI,Success,Purchase
TXN000012,CUST22970,2024-02-14,7018.06,UPI,Success,Purchase
TXN000014,CUST19727,2026-05-25,1226.76,UPI,Success,Transfer
TXN000018,CUST21484,2025-08-04,293.29,Cash,Success,Transfer
TXN000022,CUST09355,2024-09-25,12435.7,UPI,Refunded,Bill Payment
TXN000023,CUST39196,2025-01-21,1013.31,Cash,Success,Transfer
TXN000026,CUST36271,2026-02-23,321.65,UPI,Success,Bill Payment
TXN000028,CUST01571,2024-03-05,4208.7,Card,Failed,Withdrawal
TXN000029,CUST48912,2024-03-14,800.94,Cheque,Success,Purchase
TXN000036,CUST33562,2024-12-12,1662.2,UPI,Refunded,Bill Payment
TXN000038,CUST05973,2025-08-08,550.09,Card,Success,Purchase
TXN000040,CUST48842,2025-09-09,568.08,Cash,Success,Deposit
TXN000041,CUST42080,2025-09-13,2347.01,UPI,Refunded,Refund
TXN000043,CUST23522,2025-10-24,1256.06,Digital Wallet,Success,Transfer
TXN000047,CUST29561,2023-09-24,821.59,UPI,Success,Transfer
TXN000049,CUST49519,2026-05-28,2650.87,Cash,Success,Purchase
TXN000050,CUST20943,2026-04-08,1732.94,UPI,Failed,Purchase
TXN000051,CUST11270,2025-05-13,1697.97,UPI,Success,Purchase
TXN000052,CUST15007,2023-06-16,5548.99,UPI,Success,Unknown
TXN000053,CUST42102,2025-10-03,2066.29,Digital Wallet,Success,Purchase
TXN000058,CUST05170,2025-12-19,7389.81,UPI,Success,Purchase
TXN000059,CUST31052,2026-04-18,1355.03,Digital Wallet,Success,Purchase
TXN000060,CUST37884,2025-02-07,1062.27,UPI,Success,Transfer
TXN000061,CUST25497,2025-06-27,798.43,UPI,Refunded,Purchase
TXN000062,CUST04189,2025-08-25,2146.78,UPI,Refunded,Purchase
TXN000064,CUST38764,2026-07-13,2169.86,Card,Failed,Withdrawal
TXN000065,CUST13315,2025-10-09,561.44,Unknown,Success,Bill Payment
TXN000066,CUST30272,2024-04-10,747.96,UPI,Refunded,Deposit
TXN000068,CUST37238,2024-06-23,1140.75,Cash,Success,Bill Payment
TXN000069,CUST45078,2025-10-27,745.26,UPI,Success,Transfer
TXN000071,CUST47509,2025-06-26,18925.99,UPI,Refunded,Bill Payment
TXN000072,CUST48228,2026-04-11,1092.36,UPI,Success,Withdrawal
TXN000073,CUST21260,2026-06-22,968.49,UPI,Success,Withdrawal
TXN000076,CUST19462,2026-03-25,1870.22,Card,Success,Bill Payment
TXN000077,CUST15145,2025-10-25,1042.41,UPI,Success,Purchase
TXN000079,CUST34493,2025-05-09,809.43,Cash,Success,Subscription
TXN000080,CUST49704,2024-07-15,1614.86,Digital Wallet,Success,Deposit
TXN000081,CUST22880,2026-07-22,661.16,UPI,Success,Bill Payment
TXN000082,CUST42387,2025-07-12,2118.43,UPI,Success,Purchase
TXN000083,CUST44443,2024-09-02,1040.55,UPI,Success,Refund
TXN000084,CUST07953,2025-07-21,1872.18,Cash,Success,Purchase
TXN000087,CUST12685,2025-05-02,514.18,UPI,Success,Subscription
TXN000088,CUST39578,2023-09-09,1402.35,UPI,Success,Purchase
TXN000091,CUST02130,2025-01-12,2332.12,Cash,Success,Purchase
TXN000092,CUST39203,2025-10-03,164.77,UPI,Success,Purchase
TXN000093,CUST37135,2025-06-15,586.76,UPI,Success,Purchase
TXN000095,CUST43476,2025-04-24,849.14,UPI,Success,Deposit
TXN000098,CUST01664,2025-02-09,740.5,UPI,Success,Transfer
TXN000099,CUST28323,2026-01-06,278.68,Digital Wallet,Failed,Subscription
TXN000101,CUST48404,2025-12-25,1661.75,UPI,Success,Transfer
TXN000102,CUST10030,2025-11-16,1440.3,UPI,Success,Withdrawal
TXN000103,CUST11128,2025-11-20,2334.44,Cash,Success,Transfer
TXN000105,CUST17108,2025-05-11,2390.6,UPI,Success,Bill Payment
TXN000106,CUST08183,2025-05-29,21055.43,Cash,Success,Withdrawal
TXN000107,CUST48415,2025-06-09,1253.59,UPI,Failed,Transfer
TXN000110,CUST19299,2024-05-02,937.16,UPI,Refunded,Bill Payment
TXN000112,CUST20728,2026-06-13,1604.26,UPI,Success,Purchase
TXN000114,CUST02394,2026-06-07,305.7,Digital Wallet,Success,Purchase
TXN000115,CUST39860,2026-05-28,6166.31,UPI,Success,Bill Payment
TXN000117,CUST35873,2023-12-19,191.07,UPI,Success,Transfer
TXN000118,CUST01924,2025-01-31,945.5,Digital Wallet,Success,Purchase
TXN000119,CUST42565,2023-05-25,3646.54,Card,Success,Unknown
TXN000122,CUST01318,2023-06-24,2550.17,UPI,Success,Purchase
TXN000123,CUST20830,2026-03-20,707.63,Digital Wallet,Refunded,Transfer
TXN000124,CUST08245,2024-01-29,1385.24,UPI,Success,Refund
TXN000127,CUST41749,2025-09-01,733.13,Cash,Failed,Transfer
TXN000128,CUST01300,2023-08-08,1098.65,UPI,Refunded,Deposit
TXN000129,CUST44976,2024-09-23,799.27,UPI,Success,Purchase
TXN000130,CUST12769,2024-09-14,353.18,Bank Transfer,Success,Bill Payment
TXN000132,CUST01097,2025-05-23,2012.68,UPI,Success,Purchase
TXN000133,CUST40414,2026-01-15,1302.86,Cash,Success,Purchase
TXN000134,CUST33701,2024-08-01,4331.85,UPI,Success,Bill Payment
TXN000137,CUST00788,2026-06-09,5348.81,UPI,Success,Transfer
TXN000139,CUST33228,2026-08-10,2202.07,UPI,Cancelled,Deposit
TXN000140,CUST16431,2026-03-22,1115.23,Cash,Success,Bill Payment
TXN000141,CUST19316,2026-05-07,88.48,UPI,Success,Bill Payment
TXN000142,CUST09465,2025-11-26,297.43,UPI,Success,Refund
TXN000143,CUST06232,2026-01-15,2367.74,UPI,Success,Purchase
TXN000147,CUST11271,2025-03-22,1955.55,UPI,Success,Purchase
TXN000149,CUST44519,2025-05-10,1228.32,UPI,Success,Bill Payment
TXN000151,CUST45200,2025-05-29,1424.18,UPI,Success,Bill Payment
TXN000152,CUST36499,2026-07-17,6740.43,UPI,Failed,Withdrawal
TXN000154,CUST11884,2025-07-23,2023.86,Bank Transfer,Success,Bill Payment
TXN000155,CUST36624,2024-04-14,2776.71,UPI,Success,Bill Payment
TXN000157,CUST38587,2025-11-07,835.62,Digital Wallet,Success,Refund
TXN000162,CUST03216,2023-09-20,5058.61,UPI,Success,Deposit
TXN000163,CUST41334,2025-07-25,3857.29,UPI,Success,Purchase
TXN000165,CUST22316,2024-08-15,2626.61,Cash,Refunded,Purchase
TXN000166,CUST31881,2024-02-11,1480.545,UPI,Success,Refund
TXN000167,CUST00219,2025-12-30,381.89,UPI,Pending,Bill Payment
TXN000170,CUST03199,2025-09-17,21708.36,UPI,Success,Bill Payment
TXN000173,CUST19378,2024-10-03,373.47,Digital Wallet,Refunded,Purchase
TXN000174,CUST31269,2024-07-16,333.23,UPI,Success,Transfer
TXN000178,CUST48634,2026-06-03,1031.33,Card,Success,Purchase
TXN000179,CUST23880,2025-02-25,827.27,Unknown,Success,Purchase
TXN000180,CUST28910,2025-12-17,7134.5,UPI,Success,Purchase
TXN000186,CUST47699,2026-01-09,3368.22,Cash,Success,Withdrawal
TXN000188,CUST33172,2025-09-07,430.85,Cash,Refunded,Purchase
TXN000189,CUST13159,2025-06-12,19336.24,UPI,Refunded,Bill Payment
TXN000192,CUST40468,2025-10-18,1531.52,UPI,Cancelled,Bill Payment
TXN000193,CUST07400,2025-08-15,2513.0,UPI,Success,Transfer
TXN000194,CUST19673,2026-02-18,17341.63,Digital Wallet,Success,Bill Payment
TXN000195,CUST20336,2023-11-18,1915.16,Digital Wallet,Failed,Purchase
TXN000198,CUST38553,2024-08-11,172.66,UPI,Success,Purchase
TXN000201,CUST42503,2025-10-16,358.71,UPI,Pending,Purchase
TXN000202,CUST16243,2026-08-06,10788.78,UPI,Success,Bill Payment
TXN000203,CUST43847,2026-07-20,864.32,UPI,Failed,Purchase
TXN000204,CUST19234,2024-10-29,1320.62,UPI,Refunded,Transfer
TXN000205,CUST44681,2024-07-21,1480.545,UPI,Success,Purchase
TXN000206,CUST49034,2026-07-24,758.48,UPI,Pending,Purchase
TXN000207,CUST39340,2026-05-04,2847.33,UPI,Success,Purchase
TXN000210,CUST25622,2026-02-28,840.94,Cheque,Failed,Transfer
TXN000212,CUST33962,2025-11-09,7580.88,UPI,Success,Purchase
TXN000215,CUST37456,2026-08-14,992.94,UPI,Refunded,Refund
TXN000220,CUST43935,2026-06-07,2289.07,UPI,Success,Purchase
TXN000221,CUST41802,2024-08-12,1508.09,Cash,Success,Purchase
TXN000222,CUST02016,2025-06-21,212.28,UPI,Success,Purchase
TXN000223,CUST25603,2026-08-11,760.85,UPI,Success,Withdrawal
TXN000226,CUST08047,2026-05-19,1781.73,UPI,Refunded,Purchase
TXN000231,CUST48939,2025-02-26,2595.44,UPI,Failed,Purchase
TXN000233,CUST21884,2024-12-16,868.82,Digital Wallet,Success,Deposit
TXN000238,CUST01655,2025-01-18,6376.55,Unknown,Success,Bill Payment
TXN000240,CUST38470,2024-08-05,1371.75,UPI,Success,Bill Payment
TXN000241,CUST06948,2023-05-18,1010.79,UPI,Success,Withdrawal
TXN000244,CUST13857,2025-07-10,585.08,Digital Wallet,Success,Deposit
TXN000245,CUST28726,2023-09-26,2154.22,UPI,Success,Deposit
TXN000249,CUST07585,2025-02-23,2136.39,UPI,Success,Transfer
TXN000251,CUST40196,2026-04-23,526.85,Digital Wallet,Success,Purchase
TXN000252,CUST32690,2026-05-10,1239.5,UPI,Success,Bill Payment
TXN000255,CUST00478,2026-06-19,803.35,UPI,Success,Purchase
TXN000258,CUST04030,2025-07-24,803.08,UPI,Success,Purchase
TXN000260,CUST16046,2025-02-17,253.08,UPI,Failed,Purchase
TXN000261,CUST28374,2025-11-11,1585.74,Cheque,Success,Purchase
TXN000262,CUST27187,2026-03-19,3481.02,UPI,Success,Transfer
TXN000263,CUST33892,2025-02-17,1462.29,UPI,Success,Purchase
TXN000265,CUST19723,2025-06-22,1054.28,UPI,Failed,Subscription
TXN000267,CUST01799,2024-08-14,3344.59,UPI,Success,Deposit
TXN000270,CUST23072,2026-06-27,7963.28,Card,Success,Refund
TXN000271,CUST07826,2025-09-03,5859.19,Cash,Success,Withdrawal
TXN000272,CUST22519,2023-02-24,1948.05,UPI,Failed,Subscription
TXN000275,CUST29706,2024-01-08,1072.22,UPI,Success,Deposit
TXN000276,CUST04142,2025-02-07,1998.85,Unknown,Success,Deposit
TXN000280,CUST36351,2024-12-31,536.76,Cash,Success,Transfer
TXN000281,CUST30049,2026-05-03,1971.29,Cash,Success,Bill Payment
TXN000282,CUST30701,2023-10-14,1112.58,UPI,Success,Refund
TXN000283,CUST02679,2026-04-10,4794.87,Cheque,Success,Bill Payment
TXN000285,CUST22210,2025-10-21,873.4,Digital Wallet,Success,Bill Payment
TXN000286,CUST12757,2025-07-15,138.84,Cash,Success,Refund
TXN000290,CUST23094,2024-09-11,6573.39,UPI,Success,Deposit
TXN000292,CUST15153,2024-11-18,1399.55,UPI,Success,Refund
TXN000295,CUST12647,2023-10-09,1617.51,UPI,Refunded,Purchase
