activity_id,customer_id,activity_timestamp,activity_type,device_type,platform,session_duration
ACT000001,CUST15992,2024-03-23,Payment,Mobile,iOS,10.2
ACT000002,CUST08057,2026-06-27,Withdrawal,tablet,Android,7.86
ACT000003,CUST29138,2027-01-16,View Account,Mobile,Web,20.93
ACT000004,CUST33178,2025-02-13,View Account,Mobile,Web,30.83
ACT000005,CUST16024,2024-08-19,Transfer,Mobile,Android,17.81
ACT000006,CUST04741,2024-09-06,View Account,Mobile,windows,8.0
ACT000007,CUST38997,2025-09-20,View Account,Mobile,Android,40.66
ACT000008,CUST01456,2026-12-22,Payment,Tablet,Android,2.79
ACT000009,CUST36303,2028-09-22,View Account,Desktop,Windows,23.38
ACT000010,CUST12899,2026-06-14,Logout,Mobile,Android,84.18
ACT000011,CUST49526,2026-05-13,Login,Mobile,Web,51.66
ACT000012,CUST40507,2026-08-22,View Account,Mobile,iOS,10.78
ACT000013,CUST31676,2027-10-10,Login,Mobile,iOS,5.37
ACT000014,CUST07702,2027-03-03,Transfer,Mobile,iOS,16.88
ACT000015,CUST19170,2027-04-08,Deposit,Desktop,Web,16.07
ACT000016,CUST39639,2025-08-30,Deposit,Mobile,iOS,15.27
ACT000017,CUST05715,2025-09-03,Login,Mobile,Windows,27.77
ACT000018,CUST21395,2025-06-01,View Account,Mobile,Web,8.51
ACT000019,CUST29090,2027-12-05,Login,Mobile,Android,17.51
ACT000020,CUST01668,2025-09-09,View Account,Mobile,iOS,4.31
ACT000021,CUST39186,2026-04-09,Login,Mobile,Android,17.61
ACT000022,CUST04924,2028-10-06,View Account,Mobile,Windows,15.09
ACT000023,CUST05872,2025-04-04,View Account,Mobile,iOS,6.38
ACT000024,CUST10670,2027-09-04,Logout,Mobile,Android,12.51
ACT000025,CUST28634,2026-08-27,Login,Mobile,Web,20.51
ACT000026,CUST44736,2028-11-15,Payment,Mobile,Windows,103.07
ACT000027,CUST23096,2024-08-18,Transfer,Mobile,Android,21.09
ACT000028,CUST27305,2025-03-16,View Account,Desktop,iOS,36.8
ACT000029,CUST40365,2024-12-08,Payment,Mobile,iOS,46.45
ACT000030,CUST45163,2025-10-04,Logout,Mobile,Web,19.2
ACT000031,CUST19246,2025-12-07,Login,Mobile,Android,14.32
ACT000032,CUST16657,2027-09-25,Logout,Tablet,Android,31.76
ACT000033,CUST17229,2023-05-08,View Account,Mobile,Android,57.1
ACT000034,CUST05185,2024-09-18,View Account,Mobile,Android,15.1
ACT000035,CUST35231,2027-09-16,Logout,Mobile,iOS,8.24
ACT000036,CUST07433,2025-10-08,Deposit,Mobile,iOS,18.3
ACT000037,CUST43135,2027-08-11,View Account,Mobile,iOS,25.35
ACT000038,CUST00488,2026-11-13,View Account,Mobile,Windows,10.85
ACT000039,CUST08413,2024-10-05,Logout,Mobile,iOS,17.25
ACT000040,CUST11913,2028-03-09,Logout,Desktop,iOS,14.78
ACT000041,CUST40892,2026-06-15,View Account,Mobile,iOS,43.78
ACT000042,CUST17783,2027-12-16,View Account,Mobile,Windows,4.41
ACT000043,CUST18129,2026-10-26,Login,,Web,40.47
ACT000044,CUST32364,2026-01-29,View Account,Mobile,Android,14.09
ACT000045,CUST47374,2025-12-07,,Mobile,Android,5.49
ACT000046,CUST18747,2027-06-30,Transfer,Mobile,iOS,20.28
ACT000047,CUST14649,2026-06-16,View Account,Mobile,Web,5.18
ACT000048,CUST36658,2025-12-17,Withdrawal,Mobile,iOS,13.14
ACT000049,CUST28887,2028-09-29,View Account,Mobile,iOS,6.49
ACT000050,CUST31076,2025-04-26,View Account,Mobile,iOS,3.17
ACT000051,CUST26354,2027-03-01,Logout,Mobile,Windows,24.3
ACT000052,CUST09438,2027-08-13,Deposit,Mobile,iOS,2.31
ACT000053,CUST04048,2026-06-18,,Desktop,iOS,55.68
ACT000054,CUST23042,2027-02-23,View Account,,Android,19.0
ACT000055,CUST29139,2027-05-02,Login,Mobile,Web,13.57
ACT000056,CUST14912,2026-07-19,Logout,,Android,8.33
ACT000057,CUST33013,2026-11-02,Login,Mobile,Windows,56.02
ACT000058,CUST06675,2026-02-19,Login,Tablet,Android,34.46
ACT000059,CUST34984,2027-03-21,View Account,Mobile,Android,13.48
ACT000060,CUST06692,2023-10-01,View Account,Mobile,iOS,9.03
ACT000061,CUST02765,2026-10-20,Login,Mobile,Windows,31.98
ACT000062,CUST20563,2028-07-26,Payment,Mobile,Android,64.36
ACT000063,CUST26136,2025-03-20,Transfer,Mobile,Android,13.33
ACT000064,CUST13093,2024-07-02,Login,Mobile,Web,19.42
ACT000065,CUST37305,2023-05-09,Deposit,Mobile,iOS,22.93
ACT000066,CUST06500,2026-10-06,Payment,Mobile,Web,16.41
ACT000067,CUST04821,2029-02-25,View Account,Desktop,iOS,3.13
ACT000068,CUST30137,2025-09-26,View Account,Mobile,Android,8.36
ACT000069,CUST48644,2028-12-22,Login,Mobile,Android,16.72
ACT000070,CUST14892,2027-09-21,Transfer,Desktop,iOS,14.03
ACT000071,CUST13723,2027-04-09,Profile Update,Tablet,Android,12.93
ACT000072,CUST34066,2023-09-23,Logout,Mobile,iOS,28.66
ACT000073,CUST23358,2025-12-05,Login,Mobile,Android,15.1
ACT000074,CUST43054,2028-03-19,Login,Mobile,Windows,26.16
ACT000075,CUST01536,2027-06-12,Withdraw,Desktop,Web,16.72
ACT000076,CUST07576,2026-01-24,Logout,Mobile,windows,9.44
ACT000077,CUST32635,2024-02-20,View Account,Mobile,Android,5.27
ACT000078,CUST28257,2026-08-09,View Account,Mobile,Windows,16.46
ACT000079,CUST25734,2025-03-29,View Account,Mobile,Windows,1.69
ACT000080,CUST10350,2026-11-30,View Account,Mobile,iOS,53.68
ACT000081,CUST01035,2026-10-21,Login,Mobile,iOS,32.69
ACT000082,CUST45578,2027-01-16,Profile Update,Desktop,Android,139.07
ACT000083,CUST21547,2026-06-18,Login,Desktop,iOS,8.72
ACT000084,CUST08478,2028-09-30,Login,Desktop,Android,24.69
ACT000085,CUST12644,2025-05-31,Transfer,Mobile,Web,8.75
ACT000086,CUST45675,2027-04-19,View Account,Mobile,iOS,27.56
ACT000087,CUST42258,2024-09-21,View Account,Tablet,iOS,22.32
ACT000088,CUST00446,2026-08-26,View Account,Desktop,iOS,8.86
ACT000089,CUST05741,2023-11-20,Logout,Desktop,Android,8.47
ACT000090,CUST25478,2025-04-27,View Account,Mobile,Web,21.57
ACT000091,CUST27469,2027-11-21,View Account,Tablet,iOS,11.85
ACT000092,CUST02099,2026-11-19,Login,Mobile,Android,22.17
ACT000093,CUST28072,2026-08-02,Withdrawal,Mobile,iOS,72.77
ACT000094,CUST07118,2026-07-11,Login,Mobile,iOS,12.16
ACT000095,CUST12299,2024-01-16,Login,Mobile,iOS,4.77
ACT000096,CUST05851,2026-03-17,,Mobile,Android,14.01
ACT000097,CUST44958,2027-07-10,Login,Mobile,Android,8.7
ACT000098,CUST46462,2024-07-28,Deposit,Desktop,iOS,6.02
ACT000099,CUST20350,2026-04-05,,Desktop,iOS,13.22
ACT000100,CUST18116,2025-02-04,Withdrawal,Mobile,Web,7.59
ACT000101,CUST27824,2024-11-28,Login,Mobile,Windows,16.5
ACT000102,CUST18163,2026-09-22,Deposit,Mobile,Web,6.4
ACT000103,CUST24362,2027-07-19,Login,Mobile,iOS,6.41
ACT000104,CUST39031,2027-08-19,View Account,Mobile,iOS,68.26
ACT000105,CUST03177,2026-03-01,Payment,,iOS,21.88
ACT000106,CUST20975,2025-07-28,Deposit,Mobile,Android,25.8
ACT000107,CUST07697,2027-08-02,View Account,Mobile,Windows,164.17
ACT000108,CUST27781,2024-09-17,Login,Desktop,Web,18.89
ACT000109,CUST01023,2025-02-07,Payment,Desktop,Android,55.05
ACT000110,CUST01287,2026-09-01,Logout,Desktop,Windows,113.71
ACT000111,CUST21846,2024-06-04,Login,Desktop,Android,8.1
ACT000112,CUST48615,2023-11-12,View Account,Mobile,iOS,13.42
ACT000113,CUST02820,2026-12-04,Payment,Mobile,Android,21.92
ACT000114,CUST05854,2025-11-18,View Account,Mobile,Android,129.59
ACT000115,CUST36699,2026-05-23,Logout,TAB,Web,
ACT000116,CUST49652,2024-08-11,Login,Desktop,Web,41.67
ACT000117,CUST07863,2025-04-28,Profile Update,Tablet,iOS,5.93
ACT000118,CUST02971,2026-09-17,View Account,Mobile,Android,44.87
ACT000119,CUST03910,2026-05-21,,Mobile,iOS,24.12
ACT000120,CUST46534,2027-05-22,Login,Mobile,Web,53.31
ACT000121,CUST36538,2025-02-02,Transfer,Desktop,iOS,9.02
ACT000122,CUST33048,2026-10-24,Logout,Desktop,Windows,25.16
ACT000123,CUST05349,2025-08-30,Login,Desktop,Android,9.56
ACT000124,CUST16123,2027-12-10,View Account,Desktop,Windows,11.5
ACT000125,CUST07778,2025-04-13,Transfer,Mobile,Android,27.75
ACT000126,CUST40815,2028-07-13,Logout,Mobile,iOS,4.96
ACT000127,CUST26664,2027-05-05,Logout,Tablet,Windows,20.28
ACT000128,CUST42254,2026-08-05,Transfer,Mobile,Web,6.82
ACT000129,CUST28675,2027-05-13,View Account,Mobile,Web,47.58
ACT000130,CUST35579,2025-12-28,Transfer,Desktop,iOS,22.87
ACT000131,CUST01511,2027-02-28,Logout,Desktop,Web,25.3
ACT000132,CUST44375,2027-07-23,Transfer,Tablet,Android,9.0
ACT000133,CUST17308,2028-05-01,Login,,Android,12.56
ACT000134,CUST39941,2026-03-27,Login,Mobile,Android,9.04
ACT000135,CUST39505,2029-08-12,,Mobile,Windows,20.86
ACT000136,CUST09601,2024-12-13,View Account,,iOS,33.68
ACT000137,CUST46456,2026-09-29,Payment,Mobile,iOS,6.57
ACT000138,CUST14978,2027-01-14,Login,Desktop,iOS,11.98
ACT000139,CUST31017,2025-05-27,Logout,Mobile,iOS,
ACT000140,CUST01431,2026-09-03,View Account,Mobile,Android,16.85
ACT000141,CUST46683,2023-08-26,Login,Mobile,Windows,19.48
ACT000142,CUST48210,2023-12-14,ProfileUpdate,Desktop,Android,15.06
ACT000143,CUST31517,2027-08-12,transfer,Mobile,Android,15.68
ACT000144,CUST08764,2027-11-03,View Account,Tablet,Web,34.13
ACT000145,CUST13850,2025-06-16,View Account,Desktop,Android,31.63
ACT000146,CUST35178,2023-12-25,Login,Tablet,Android,26.67
ACT000147,CUST16460,2026-02-21,LOGOUT,Mobile,Web,6.46
ACT000148,CUST42300,2026-02-14,Login,Mobile,iOS,12.83
ACT000149,CUST26425,2027-05-15,Login,Desktop,Android,20.53
ACT000150,CUST12305,2027-06-29,View Account,Tablet,Android,17.17
ACT000151,CUST43756,2025-12-13,View Account,Mobile,iOS,6.74
ACT000152,CUST08349,2028-11-23,Deposit,Mobile,iOS,22.82
ACT000153,CUST03012,2027-12-07,View Account,Mobile,Android,6.47
ACT000154,CUST29210,2023-11-16,View Account,Mobile,Android,11.42
ACT000155,CUST08803,2025-07-02,View Account,Mobile,iOS,15.67
ACT000156,CUST18370,2024-11-05,Login,Desktop,Android,13.2
ACT000157,CUST29116,2027-01-08,Profile Update,Mobile,Android,4.31
ACT000158,CUST14815,2024-07-03,Login,Mobile,Android,16.79
ACT000159,CUST48801,2024-12-20,Login,Desktop,iOS,9.89
ACT000160,CUST16623,2024-10-03,Logout,Mobile,Android,17.03
ACT000161,CUST24385,2026-12-04,Login,Desktop,Web,11.04
ACT000162,CUST29138,2027-04-12,Deposit,Mobile,iOS,40.8
ACT000163,CUST03828,2027-11-17,LOGOUT,Mobile,Android,10.37
ACT000164,CUST19817,2026-09-24,View Account,Tablet,Android,7.57
ACT000165,CUST23278,2026-11-11,Deposit,Mobile,Android,12.85
ACT000166,CUST07908,2027-01-14,Login,Mobile,Android,10.95
ACT000167,CUST01975,2024-01-26,Transfer,Desktop,iOS,22.64
ACT000168,CUST28053,2024-03-24,Login,Mobile,Web,1.72
ACT000169,CUST31662,2027-08-10,Login,Mobile,Web,33.73
ACT000170,CUST13880,2026-04-28,Login,Mobile,Android,27.17
ACT000171,CUST32513,2025-07-16,Deposit,Desktop,Web,17.13
ACT000172,CUST23271,2024-05-31,Withdrawal,Mobile,Android,7.76
ACT000173,CUST33206,2024-10-03,Logout,Desktop,Android,9.0
ACT000174,CUST34302,2027-11-01,Profile Update,Tablet,Android,2.86
ACT000175,CUST48417,2026-08-11,Payment,Mobile,Android,44.8
ACT000176,CUST02153,2027-08-24,Transfer,Mobile,Web,6.84
ACT000177,CUST11230,2025-08-26,View Account,Mobile,iOS,39.66
ACT000178,CUST31078,2026-09-20,Logout,Desktop,iOS,15.23
ACT000179,CUST17019,2025-11-16,Deposit,Tablet,Android,13.14
ACT000180,CUST11638,2025-11-26,Login,Tablet,Web,15.71
ACT000181,CUST14994,2027-11-09,View Account,Mobile,Windows,0.0
ACT000182,CUST32963,2024-08-17,View Account,Desktop,Web,9.61
ACT000183,CUST03683,2029-04-18,View Account,Desktop,Windows,20.02
ACT000184,CUST11011,2026-12-07,View Account,Mobile,Web,32.1
ACT000185,CUST41422,2025-10-29,Deposit,Mobile,Web,41.79
ACT000186,CUST41957,2027-07-12,Withdrawal,Mobile,Android,14.2
ACT000187,CUST42825,2026-12-28,Payment,Mobile,Android,19.57
ACT000188,CUST15067,2028-01-09,Login,Tablet,Android,5.49
ACT000189,CUST26556,2026-09-26,Payment,Mobile,Web,48.54
ACT000190,CUST45395,2024-01-01,View Account,Mobile,Windows,2.54
ACT000191,CUST45877,2025-01-01,Payment,Mobile,Windows,7.56
ACT000192,CUST14848,2028-11-17,Login,,Web,8.65
ACT000193,CUST43357,2026-12-20,View Account,Desktop,Web,20.05
ACT000194,CUST16156,2028-01-17,Payment,Desktop,iOS,9.14
ACT000195,CUST01271,2024-10-29,Login,Mobile,Web,15.18
ACT000196,CUST33240,2028-10-08,View Account,Desktop,iOS,32.47
ACT000197,CUST01408,2025-04-03,Deposit,Tablet,Android,10.65
ACT000198,CUST45995,2026-01-18,View Account,Mobile,iOS,15.67
ACT000199,CUST29358,2026-06-07,View Account,,Android,
ACT000200,CUST27324,2027-12-12,View Account,Mobile,iOS,45.23
ACT000201,CUST15818,2025-09-19,Login,Desktop,Web,18.1
ACT000202,CUST24824,2025-10-07,Login,Mobile,iOS,36.62
ACT000203,CUST04888,2025-05-29,Login,Mobile,Android,20.11
ACT000204,CUST39177,2023-01-18,Payment,Desktop,Web,15.59
ACT000205,CUST13350,2025-08-30,View Account,Mobile,iOS,16.47
ACT000206,CUST44875,2025-06-04,Login,Mobile,Web,12.29
ACT000207,CUST29816,2023-04-07,Login,Mobile,Web,25.49
ACT000208,CUST18712,2023-10-23,View Account,Mobile,Android,58.12
ACT000209,CUST04593,2025-08-16,Login,Mobile,Web,25.32
ACT000210,CUST45982,2028-04-22,View Account,Mobile,Android,8.97
ACT000211,CUST09530,2026-07-08,View Account,Mobile,Android,25.3
ACT000212,CUST43343,2028-03-13,View Account,Mobile,Android,42.35
ACT000213,CUST47995,2026-01-06,View Account,Tablet,Android,14.28
ACT000214,CUST41109,2026-06-28,View Account,Mobile,Web,10.47
ACT000215,CUST19333,2024-11-11,View Account,Mobile,Windows,16.5
ACT000216,CUST13566,2023-12-17,Withdrawal,Mobile,iOS,9.32
ACT000217,CUST15024,2026-03-07,Transfer,Mobile,Android,13.65
ACT000218,CUST04379,2026-05-20,Login,Mobile,iOS,7.41
ACT000219,CUST38670,2025-03-13,View Account,Tablet,Web,26.38
ACT000220,CUST18538,2026-01-30,Login,Mobile,Android,18.67
ACT000221,CUST27551,2027-02-21,View Account,Mobile,Android,35.29
ACT000222,CUST35716,2027-07-13,Deposit,Mobile,Android,39.43
ACT000223,CUST34823,2027-06-10,View Account,Mobile,iOS,7.69
