customer_id,age,gender,country,employment_type,income,account_type,signup_date,customer_status
CUST00001,25.0,Female,India,Unemployed,171444.16,Savings,2025-10-18,Inactive
CUST00002,24.0,Female,India,Self-Employed,1743639.46,Savings,2026-01-11,Inactive
CUST00003,,Male,UAE,Employed,846881.08,Savings,2025-05-22,Active
CUST00004,21.0,O,Canada,Retired,560142.69,Savings,2024-02-12,Closed
CUST00005,38.0,Female,India,Employed,797706.44,Premium,2025-10-22,Active
CUST00006,32.0,Male,India,Self-Employed,,savings,2024-10-14,Active
CUST00007,34.0,Male,Germany,Student,298032.19,Savings,2024-01-01,Active
CUST00008,,Female,Australia,Employed,989500.38,,2025-06-08,Active
CUST00009,,Male,India,Employed,851908.11,Salary,2026-01-13,suspended
CUST00010,18.0,Male,USA,Employed,1104280.07,Savings,2026-07-28,Closed
CUST00011,25.0,Male,USA,Business Owner,1586226.47,Salary,2023-01-29,Inactive
CUST00012,26.0,Female,India,Employed,475651.18,Current,2025-09-28,Active
CUST00013,19.0,Male,India,Employed,-81266.0,Savings,2023-10-28,Active
CUST00014,37.0,Male,USA,Employed,-88234.0,Premium,2025-03-26,Active
CUST00015,0.0,Male,USA,Employed,-24202.0,Savings,2023-10-12,Inactive
CUST00016,23.0,Female,USA,Employed,493705.26,Savings,2025-12-28,Inactive
CUST00017,27.0,Female,India,Student,,Current,2026-06-24,Suspended
CUST00018,,Male,Australia,Student,59791.87,Current,2024-01-02,Inactive
CUST00019,27.0,Female,Singapore,Employed,1021828.03,Savings,2024-09-06,Suspended
CUST00020,22.0,Male,UK,,-51572.0,Current,2023-10-04,Active
CUST00021,18.0,Male,UK,Self-Employed,1222108.89,,2025-08-19,Active
CUST00022,27.0,Male,Canada,Unemployed,135338.35,Savings,2024-05-21,Active
CUST00023,21.0,Female,UK,Retired,426279.29,Current,2023-05-05,Suspended
CUST00024,35.0,Male,India,Student,-52709.0,Savings,2025-10-22,Suspended
CUST00025,44.0,M,UK,Employed,556325.12,Savings,2023-06-13,Inactive
CUST00026,23.0,Male,UAE,Employed,719461.06,Savings,2025-12-26,Suspended
CUST00027,32.0,Male,Germany,Employed,1032758.27,Current,2023-12-10,Active
CUST00028,22.0,Male,India,Student,86313.51,Savings,2023-06-29,Active
CUST00029,18.0,Female,Singapore,Employed,555271.18,Savings,2023-06-21,Active
CUST00030,42.0,Male,India,Employed,672831.07,current,2024-12-23,Active
CUST00031,33.0,Male,UAE,Retired,884604.28,Savings,2023-03-19,Active
CUST00032,26.0,m,UAE,Retired,295492.35,Savings,2025-05-01,Active
CUST00033,19.0,Female,India,Employed,,Savings,2024-02-17,Closed
CUST00034,30.0,Female,USA,Employed,1011660.55,Salary,2025-07-21,Active
CUST00035,30.0,Other,Germany,,650183.21,Salary,2024-12-29,Active
CUST00036,19.0,Female,Singapore,Employed,824625.95,Savings,2023-12-01,Closed
CUST00037,29.0,Female,India,Employed,-79455.0,,2026-02-23,Active
CUST00038,22.0,Male,India,Business Owner,3831455.45,Savings,2024-10-29,Active
CUST00039,,Female,India,Student,260003.46,Savings,2025-01-30,Active
CUST00040,32.0,Male,UAE,Student,293993.04,Savings,2025-04-11,Active
CUST00041,37.0,Female,India,,1021608.21,Salary,2024-10-25,Inactive
CUST00042,31.0,Female,India,Employed,651263.13,Savings,2024-09-16,Active
CUST00043,,Male,India,Employed,598857.48,Savings,2024-07-19,Active
CUST00044,21.0,Female,UAE,Student,140715.12,,2025-10-09,Active
CUST00045,31.0,Male,India,Self-Employed,1762967.46,Savings,2025-04-20,Inactive
CUST00046,33.0,Female,UK,Employed,1478072.8,Current,2023-09-03,Active
CUST00047,,Female,USA,Business Owner,2235293.44,Savings,2026-01-12,Active
CUST00048,26.0,Female,India,Employed,,Salary,2024-07-09,Active
CUST00049,32.0,Female,Canada,Employed,959578.4,Current,2024-10-16,Active
CUST00050,18.0,Male,Germany,Self-Employed,1528726.36,Premium,2023-07-16,Active
CUST00051,20.0,Female,India,Self-Employed,623887.09,Savings,2025-12-30,Active
CUST00052,18.0,Female,USA,Employed,537771.49,Savings,2025-03-11,Active
CUST00053,21.0,Female,India,Self-Employed,1173696.46,Savings,2026-06-17,Suspended
CUST00054,28.0,other,India,Employed,324496.19,Current,2023-11-03,Active
CUST00055,28.0,Female,India,Employed,285831.15,Savings,2024-04-16,Active
CUST00056,28.0,Female,UK,Employed,817951.04,Salary,2024-07-06,Inactive
CUST00057,23.0,Male,USA,Unemployed,97165.54,Savings,2024-01-18,Active
CUST00058,32.0,Male,UK,Employed,649214.13,Savings,2023-04-09,Inactive
CUST00059,24.0,male,India,Business Owner,889633.08,CURRENT,2023-11-26,Active
CUST00060,18.0,Other,Canada,Business Owner,860561.57,Savings,2023-02-01,Closed
CUST00061,0.0,Male,India,Employed,333391.46,Savings,2025-05-22,Active
CUST00062,44.0,Female,Canada,Employed,813972.74,Current,2024-10-24,Active
CUST00063,33.0,Male,USA,Business Owner,1984081.12,Salary,2025-06-17,Closed
CUST00064,18.0,Female,Singapore,Student,111916.08,,2024-11-28,Active
CUST00065,,Female,UK,Self-Employed,1009544.91,Current,2025-12-18,Active
CUST00066,22.0,Female,Canada,Business Owner,9259504.67,Savings,2025-08-26,Active
CUST00067,27.0,Male,Canada,Student,303114.91,Savings,2026-06-23,Active
CUST00068,23.0,Male,Singapore,Business Owner,4205907.44,Savings,2026-05-24,Suspended
CUST00069,,Female,UAE,Employed,930694.34,,2025-09-18,Inactive
CUST00070,,Male,India,Employed,876079.54,Savings,2024-11-30,suspended
CUST00071,26.0,Male,Germany,Unemployed,202746.06,Salary,2024-04-16,Active
CUST00072,26.0,Male,Singapore,Unemployed,151289.56,Salary,2023-02-15,Active
CUST00073,27.0,Other,India,Employed,816039.29,Savings,2024-10-11,Closed
CUST00074,19.0,Female,UK,Business Owner,2890422.98,Current,2024-09-24,Inactive
CUST00075,,Female,UK,Retired,859774.51,Savings,2026-01-29,Closed
CUST00076,35.0,Male,Australia,Employed,200000.0,Savings,2026-07-03,Active
CUST00077,22.0,Male,USA,Business Owner,1737356.01,Salary,2024-07-13,Active
CUST00078,18.0,Male,India,Unemployed,300000.0,Savings,2024-11-12,Active
CUST00079,35.0,Male,Germany,Employed,882200.07,Savings,2024-02-25,Active
CUST00080,25.0,Female,India,Employed,2301560.48,Salary,2023-11-16,Suspended
CUST00081,24.0,Male,India,Employed,578996.78,Savings,2026-03-09,Active
CUST00082,31.0,Male,India,Unemployed,,Savings,2023-02-19,Suspended
CUST00083,28.0,Female,USA,Retired,-28274.0,Current,2024-03-07,closed
CUST00084,26.0,Female,India,Business Owner,1987937.95,Savings,2025-08-09,Inactive
CUST00085,30.0,Female,UAE,Self-Employed,1854759.03,Savings,2023-09-14,Active
CUST00086,43.0,Male,USA,Employed,1227719.85,Savings,2026-06-09,Active
CUST00087,18.0,Female,India,Employed,1083679.97,Savings,2024-06-21,Active
CUST00088,18.0,Female,India,Business Owner,2266544.35,saving,2026-03-26,Active
CUST00089,20.0,Male,India,Employed,934287.98,Savings,2025-07-19,Active
CUST00090,18.0,Female,UK,Employed,1024768.21,Premium,2023-04-20,Active
CUST00091,27.0,Female,UK,Student,186450.95,Savings,2023-12-05,Active
CUST00092,29.0,Other,USA,Self-Employed,1460007.34,Savings,2025-08-04,Active
CUST00093,31.0,Female,USA,Employed,1346501.49,Premium,2025-12-07,Inactive
CUST00094,29.0,Male,USA,Employed,1082534.4,Current,2023-05-20,Active
CUST00095,23.0,Female,Canada,Employed,748651.7,Savings,2023-02-09,Closed
CUST00096,0.0,Male,Singapore,Employed,1199043.63,Savings,2025-12-04,Active
CUST00097,18.0,OTH,Canada,Employed,1472511.65,Savings,2023-12-14,ACTIVE
CUST00098,34.0,Female,Australia,Self-Employed,953053.83,premium account,2025-10-20,Suspended
CUST00099,47.0,Male,Australia,,3845012.65,Current,2025-03-25,Inactive
CUST00100,25.0,Male,UK,Unemployed,155015.95,Savings,2026-01-13,Inactive
CUST00101,29.0,Male,India,Business Owner,1836645.81,Current,2024-04-11,Active
CUST00102,22.0,F,Canada,Business Owner,1418247.47,Salary,2025-02-01,Active
CUST00103,18.0,Male,USA,Employed,535665.38,Savings,2023-05-18,Active
CUST00104,23.0,Male,India,Self-Employed,2278754.84,Savings,2023-10-24,Inactive
CUST00105,23.0,Male,India,Employed,,Salary,2023-08-15,Active
CUST00106,,Female,UAE,Employed,597284.17,Current,2025-10-13,Suspended
CUST00107,36.0,Male,India,Self-Employed,3451543.7,Premium,2026-02-20,Inactive
CUST00108,34.0,Male,Germany,Student,122186.26,Salary,2024-05-17,Active
CUST00109,18.0,Male,USA,Employed,587780.67,SALARY,2023-04-09,Inactive
CUST00110,,Female,India,Student,150032.24,Current,2023-04-29,Inactive
CUST00111,,Male,USA,Self-Employed,700227.11,Salary,2024-07-23,Suspended
CUST00112,45.0,Female,India,,,Premium,2024-03-15,Suspended
CUST00113,33.0,Male,Germany,Employed,374556.72,Current,2024-03-03,Active
CUST00114,0.0,Male,Australia,Business Owner,1565516.66,Current,2023-09-02,Closed
