transaction_id,customer_id,payment_date,amount,payment_mode,transaction_status,transaction_type
TXN000001,CUST42494,2024-08-03,829.09,UPI,Success,Refund
TXN000002,CUST10083,2024-02-16,1185.12,UPI,Success,Transfer
TXN000003,CUST17203,2026-05-24,452.11,UPI,Refunded,Withdrawl
TXN000004,CUST06717,2025-03-05,9055.75,cash,Refunded,Withdrawl
TXN000005,CUST21272,2029-01-31,3058.19,UPI,Success,Purchase
TXN000006,CUST45080,2027-01-11,1432.67,Bank Transfer,Success,Bill Payment
TXN000007,CUST14939,2025-05-06,649.99,UPI,Success,Bill Payment
TXN000008,CUST10368,2026-04-17,1163.32,UPI,Success,Bill Payment
TXN000009,CUST46960,2025-10-24,433.59,UPI,Success,Bill Payment
TXN000010,CUST26317,2024-11-26,3003.01,Cash,Failed,Bill Payment
TXN000011,CUST38528,2025-10-05,7655.85,UPI,Success,REFUND
TXN000012,CUST31316,2024-09-15,999.8,UPI,Refunded,Deposit
TXN000013,CUST12470,2024-08-07,391.98,Bank Transfer,Success,Transfer
TXN000014,CUST31976,2025-06-24,24616.67,Cards,Failed,Purchase
TXN000015,CUST35206,2026-06-02,888.92,UPI,Failed,Purchase
TXN000016,CUST14402,2025-06-01,515.72,UPI,Success,Bill Payment
TXN000017,CUST44458,2027-05-07,1431.44,Cheque,Success,Bill Payment
TXN000018,CUST39908,2024-07-22,328.61,Cards,Refunded,Deposit
TXN000019,CUST35002,2027-05-06,5779.37,UPI,Success,Transfer
TXN000020,CUST49591,2025-10-07,785.82,UPI,Success,Transfer
TXN000021,CUST01877,2025-09-05,4444.19,UPI,Refunded,Bill Payment
TXN000022,CUST04391,2024-04-27,4176.64,UPI,failed,Purchase
TXN000023,CUST00583,2024-02-07,0.0,UPI,Success,Transfer
TXN000024,CUST23037,2027-11-07,516.94,UPI,Success,Transfer
TXN000025,CUST16671,2028-03-30,946.59,Cash,Success,Purchase
TXN000026,CUST10457,2024-03-24,715.08,Digital Wallets,Success,Purchase
TXN000027,CUST08667,2026-03-21,625.29,Cards,Success,Bill Payment
TXN000028,CUST31879,2026-07-13,1719.01,UPI,Success,Transfer
TXN000029,CUST07248,2026-06-18,508.92,Digital Wallets,Success,Refund
TXN000030,CUST19546,2026-03-01,7753.2,Cash,Refunded,Withdrawl
TXN000031,CUST41981,2027-08-27,1338.25,UPI,Success,Transfer
TXN000032,CUST38006,2024-01-30,15217.29,UPI,Success,Bill Payment
TXN000033,CUST04103,2024-12-28,247.6,UPI,Success,Bill Payment
TXN000034,CUST28511,2024-12-03,1532.87,UPI,Success,
TXN000035,CUST11250,2025-08-17,1955.13,UPI,Success,Purchase
TXN000036,CUST41649,2024-12-03,936.78,Digital Wallets,Failed,Deposit
TXN000037,CUST47712,2025-08-06,825.5,Cash,Success,Bill Payment
TXN000038,CUST34004,2024-10-25,1006.03,UPI,Success,Purchase
TXN000039,CUST22330,2026-02-13,354.57,Digital Wallets,Success,Withdrawl
TXN000040,CUST26910,2025-09-23,2650.49,Cards,Success,Transfer
TXN000041,CUST21847,2025-02-18,1730.59,UPI,Success,Deposit
TXN000042,CUST48200,2025-07-27,3804.51,UPI,Failed,Deposit
TXN000043,CUST36403,2026-06-13,411.82,UPI,Success,Withdrawl
TXN000044,CUST02127,2023-05-21,3966.88,Cash,Success,Purchase
TXN000045,CUST12562,2027-07-11,961.07,UPI,Pending,Refund
TXN000046,CUST13310,2026-05-06,1163.25,UPI,Refunded,Bill Payment
TXN000047,CUST43453,2023-09-10,1992.18,Digital Wallets,Success,Transfer
TXN000048,CUST46516,2027-09-19,0.0,Digital Wallets,Success,Transfer
TXN000049,CUST11015,2025-12-04,9656.9,UPI,Success,Bill Payment
TXN000050,CUST05636,2026-08-22,4313.58,UPI,Pending,Purchase
TXN000051,CUST31219,2025-10-13,8238.72,Cash,Success,Refund
TXN000052,CUST07977,2026-12-28,,Cash,Success,Bill Payment
TXN000053,CUST00403,2025-06-05,1501.0,Cash,Success,Subscription
TXN000054,CUST25645,2029-02-07,201.25,Digital Wallets,Success,Refund
TXN000055,CUST24801,2026-08-18,1452.09,UPI,Success,Bill Payment
TXN000056,CUST06294,2025-01-05,108.06,UPI,Success,Purchase
TXN000057,CUST28089,2026-11-02,865.89,UPI,Refunded,Purchase
TXN000058,CUST44527,2024-03-12,4221.14,UPI,Success,Bill Payment
TXN000059,CUST49937,2025-01-15,345.49,UPI,Pending,Deposit
TXN000060,CUST27146,2027-05-03,328.6,Cash,Success,Purchase
TXN000061,CUST30312,2025-04-30,1413.0,UPI,Success,Withdrawl
TXN000062,CUST07479,2028-08-03,1215.93,UPI,Failed,subscription
TXN000063,CUST34781,2028-11-05,3026.28,Digital Wallets,Success,Purchase
TXN000064,CUST15533,2025-07-13,1120.6,UPI,Success,Bill Payment
